Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6917530,-,-,-,46.7,-64.23,-4,29,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Dew Point,GHI,Pressure,Relative Humidity,Precipitable Water
2020,1,1,0,0,0.4,-0.1,0,992,96.18,1.2000000000000002
2020,1,1,1,0,0.6000000000000001,0.2,0,990,97.16,1.2000000000000002
2020,1,1,2,0,0.9,0.6000000000000001,0,989,97.72,1.2000000000000002
2020,1,1,3,0,1.1,1,0,988,98.97,1.2000000000000002
2020,1,1,4,0,1.3,1.2000000000000002,0,987,99.27,1.2000000000000002
2020,1,1,5,0,1.4000000000000001,1.3,0,987,99.2,1.2000000000000002
2020,1,1,6,0,1.1,0.9,0,987,98.7,1.1
2020,1,1,7,0,0.30000000000000004,0,0,988,97.56,1
2020,1,1,8,0,-0.6000000000000001,-1.2000000000000002,0,988,95.60000000000001,1
2020,1,1,9,0,-1,-1.9000000000000001,61,989,93.29,0.9
2020,1,1,10,0,-0.9,-2.2,117,989,91.05,0.9
2020,1,1,11,0,-0.6000000000000001,-2.3000000000000003,220,988,88.03,0.8
2020,1,1,12,0,-0.30000000000000004,-2.5,272,988,85.35000000000001,0.8
2020,1,1,13,0,0,-2.5,258,988,83.34,0.8
2020,1,1,14,0,0.1,-2.5,171,988,82.93,0.8
2020,1,1,15,0,-0.1,-2.5,35,989,84.11,0.8
2020,1,1,16,0,-0.5,-2.6,12,989,85.86,0.8
2020,1,1,17,0,-0.9,-2.7,0,990,87.82000000000001,0.8
2020,1,1,18,0,-1.3,-2.8000000000000003,0,990,89.47,0.8
2020,1,1,19,0,-1.7000000000000002,-3,0,991,90.81,0.8
2020,1,1,20,0,-1.8,-3.1,0,991,90.63,0.8
2020,1,1,21,0,-1.8,-3.1,0,991,90.91,0.8
2020,1,1,22,0,-1.7000000000000002,-3,0,991,90.77,0.8
2020,1,1,23,0,-1.6,-3,0,992,90.13,0.8
2020,1,2,0,0,-1.8,-3.2,0,992,90.33,0.8
2020,1,2,1,0,-2.1,-3.5,0,993,90.14,0.8
2020,1,2,2,0,-2.5,-3.9000000000000004,0,994,90.03,0.7000000000000001
2020,1,2,3,0,-2.8000000000000003,-4.2,0,995,90.08,0.7000000000000001
2020,1,2,4,0,-3,-4.4,0,995,90.23,0.7000000000000001
2020,1,2,5,0,-3.1,-4.5,0,996,90.08,0.7000000000000001
2020,1,2,6,0,-3.1,-4.6000000000000005,0,997,89.46000000000001,0.7000000000000001
2020,1,2,7,0,-3.2,-4.7,0,997,89.7,0.7000000000000001
2020,1,2,8,0,-3.1,-4.5,0,998,89.87,0.7000000000000001
2020,1,2,9,0,-2.5,-4.1000000000000005,53,999,88.93,0.7000000000000001
2020,1,2,10,0,-1.8,-3.6,148,999,87.7,0.7000000000000001
2020,1,2,11,0,-1,-3.2,260,999,84.76,0.7000000000000001
2020,1,2,12,0,-0.4,-3.1,344,999,82.10000000000001,0.7000000000000001
2020,1,2,13,0,0,-3.1,344,999,79.91,0.7000000000000001
2020,1,2,14,0,0.1,-3,267,1000,79.52,0.7000000000000001
2020,1,2,15,0,0,-3.1,185,1001,79.86,0.7000000000000001
2020,1,2,16,0,-0.5,-3.3000000000000003,63,1002,81.49,0.7000000000000001
2020,1,2,17,0,-1.1,-3.5,0,1003,83.91,0.6000000000000001
2020,1,2,18,0,-1.8,-3.6,0,1003,87.19,0.6000000000000001
2020,1,2,19,0,-2.6,-4,0,1004,90.11,0.6000000000000001
2020,1,2,20,0,-3.1,-4.2,0,1004,91.88,0.6000000000000001
2020,1,2,21,0,-3.5,-4.6000000000000005,0,1004,92.42,0.6000000000000001
2020,1,2,22,0,-3.7,-4.800000000000001,0,1005,92.35000000000001,0.7000000000000001
2020,1,2,23,0,-3.9000000000000004,-4.9,0,1004,92.46000000000001,0.8
2020,1,3,0,0,-3.9000000000000004,-5,0,1004,92,0.9
2020,1,3,1,0,-3.6,-4.9,0,1004,90.9,1
2020,1,3,2,0,-3.3000000000000003,-4.7,0,1004,90.03,1
2020,1,3,3,0,-3,-4.4,0,1005,90.11,1
2020,1,3,4,0,-2.8000000000000003,-4.2,0,1004,90.24,1
2020,1,3,5,0,-2.9000000000000004,-4.1000000000000005,0,1004,91.26,1
2020,1,3,6,0,-2.9000000000000004,-4,0,1005,92.25,1.1
2020,1,3,7,0,-2.8000000000000003,-3.7,0,1005,93.44,1.1
2020,1,3,8,0,-2.6,-3.4000000000000004,0,1004,94.21000000000001,1.1
2020,1,3,9,0,-1.6,-2.6,39,1004,93.06,1.1
2020,1,3,10,0,-0.8,-1.8,111,1003,92.63,1.1
2020,1,3,11,0,0,-1.2000000000000002,198,1002,91.88,1.1
2020,1,3,12,0,0.6000000000000001,-0.5,200,1002,92.65,1.2000000000000002
2020,1,3,13,0,1.2000000000000002,0.1,174,1001,92.17,1.2000000000000002
2020,1,3,14,0,1.5,0.5,159,1002,92.83,1.2000000000000002
2020,1,3,15,0,1.2000000000000002,0.4,55,1002,94.65,1.2000000000000002
2020,1,3,16,0,0.30000000000000004,-0.1,17,1002,96.9,1.2000000000000002
2020,1,3,17,0,-0.2,-0.4,0,1002,98.27,1.2000000000000002
2020,1,3,18,0,-0.5,-0.6000000000000001,0,1002,99.49000000000001,1.2000000000000002
2020,1,3,19,0,-0.7000000000000001,-0.7000000000000001,0,1003,100,1.2000000000000002
2020,1,3,20,0,-0.7000000000000001,-0.7000000000000001,0,1003,100,1.1
2020,1,3,21,0,-0.6000000000000001,-0.7000000000000001,0,1003,99.04,1.1
2020,1,3,22,0,-0.7000000000000001,-0.9,0,1003,98.73,1.1
2020,1,3,23,0,-0.8,-1,0,1002,98.23,1.1
2020,1,4,0,0,-0.8,-1.1,0,1002,98.13,1.1
2020,1,4,1,0,-0.6000000000000001,-0.9,0,1002,97.96000000000001,1.1
2020,1,4,2,0,-0.4,-0.7000000000000001,0,1002,97.9,1.1
2020,1,4,3,0,-0.1,-0.4,0,1001,97.60000000000001,0.9
2020,1,4,4,0,0,-0.30000000000000004,0,1001,97.49000000000001,0.8
